accession_number,description
1898.26.1.1,Brass powder cylinder
1898.26.1.2,Brass powder cylinder
1899.70.2,Tortoise-shell drum with
1899.78.4.1,Wooden weaving sword
1899.78.4.2,Wooden weaving sword
1899.78.4.3,Wooden shuttle needle
1899.78.4.4,Wooden shuttle needle
1899.78.4.5,Wooden weaving
1899.78.4.6,Wooden weaving
1899.78.4.7,Wooden weaving rod
1899.78.4.8,Wooden weaving rod
1899.86.12,Bronze plaque with the
1899.86.13,Bronze foot broken
1900.1.4,Wooden sansa-type
1900.1.5,Wooden sansa-type
1900.32.4,String of cylindrical
1900.39.1,Brass relief plaque
1900.39.2,Brass relief plaque
1900.39.3,Brass sculpture or altar-
1900.39.4,Brass ceremonial
1900.39.5,Brass staff with the
1900.39.6,Bronze hip-ornament
1900.39.7,Bronze hip-ornament
1900.39.8,Bronze hip-ornament
1900.39.9,Bronze hip-ornament
1900.39.10,Bronze bell
1900.39.11,Bronze bell
1900.39.12,Bronze armlet with
1900.39.13,Bronze armlet with
1900.39.14,Copper armlet with
1900.39.15,Bronze penannular leg-
1900.39.16,Copper armlet
1900.39.17,Iron armlet
1900.39.18,Bronze cone-shaped
1900.39.19,Ivory armlet
1900.39.20,Ivory hip-ornament
1900.39.21,Ivory door-bolt from the
1900.39.22,Brass ceremonial fan
1900.39.23,Wooden lidded bowl or
1900.39.24,Wooden figure of a
1900.39.25,Carved coconut vessel
1900.39.26,Carved coconut vessel
1900.39.27.1,Iron armlet containing
1900.39.27.2,Iron armlet containing
1900.74.1,Brass vessel
1900.74.2,Brass armlet with
1900.74.3,Bronze bracelet
1901.53.2,Bronze arm-ring
1901.53.3,Bronze arm-ring
1901.53.4,Bronze pellet bell
1901.53.5,Bronze pellet bell
1901.53.6,Bronze pellet bell
1901.53.7,Bronze pellet bell
1901.53.8,Bronze pellet bell
1901.53.9,Bronze pellet bell
1901.53.10,Bronze pellet bell
1901.53.11,Bronze pellet bell
1901.54.1,Ground stone axe
1901.54.2,Bronze weight
1901.56.1,Bronze pendant from a
1901.56.2,Bronze pendant from a
1907.66.1,Brass plaque with relief
1908.41.1,Brass plaque with with
1908.41.2,Brass plaque with with
1908.41.3,Brass plaque with with
1908.41.4,Brass plaque with with
1908.65.1,Brass plaque with relief
1909.1.1,Ivory mount from a
1909.1.2,Bronze staff with double
1909.11.1.1,Wooden box
1909.11.1.2,Wooden lid with carved
1909.61.1,Bronze imitation of a
1909.61.2,Bronze imitation of a
1909.61.3,Bronze imitation of a
1909.61.4,Bronze imitation of a
1909.61.5,Bronze imitation of a
1909.61.6,Bronze imitation of a
1909.61.7,Bronze imitation of a
1917.2.13,Bronze hip-ornament
1917.38.1,Bronze bell
1917.38.2,Bronze bell
1932.88.863,Bronze lamp
1932.88.864,Bronze lamp
1938.34.94,Ivory side-blast trumpet
1941.2.117,Bronze Bell
1941.2.118,Bronze Bell
1941.2.119,Bronze Bell
1941.2.124,Wooden rattle staff
1946.6.80,Bronze bell
1965.9.1 B,Brass hip ornament
1966.13.1,Bronze head
1975.7.1,Bronze figure of a man
1975.7.2,Bronze cylindrical
1979.8.1,Wooden stool with
1980.19.1,Bronze figure of a
1983.25.1,Brass hip-ornament
1983.25.2,Brass hip-ornament
1983.25.3,Brass hip-ornament
1988.11.1,Wooden comb
1988.11.2,Wooden comb
1991.13.1,Carved ivory tusk burnt in the fires during the desecration of Benin city
1991.13.2,Carved ivory tusk
1991.13.3,Silver-plated ceremonial sword (eben) stamped as made by the British firm
1991.13.4,Ivory ladle with inlaid bronze and a bronze human figure on the handle
1991.13.5,Ivory commemorative head with eyes inlaid with bronze
1991.13.6,Ivory pedestal bowl inlaid with bronze
1991.13.7,Ivory lid with five projections
1991.13.8,"Brass relief plaque depicting three figures, the central on holding a"
1991.13.9,"Ivory carved figure, probably broken from a ceremonial staff or flywhisk"
1991.13.10.1,Bronze ring-shaped container with incised decoration depicting a fish
1991.13.10.2,Bronze lid for container (1991.13.10.2)
1991.13.11,Bronze altar-piece base
1991.13.12,Bronze armlet
1991.13.13,Bronze armlet
1991.13.14,Gilded bronze armlet
1991.13.15,Bronze armlet
1991.13.16,Ivory armlet with inlaid bronze
1991.13.17.1,Ceremonial sword (ada)
1991.13.17.2,Coralwork sheath for ceremonial sword (1991.13.17.1)
1991.13.18,Ceremonial sword (ada)
1991.13.19,Ceremonial sword (ada)
1991.13.20,Side-blown ivory trumpet
1991.13.21,Gilded bronze cone-shaped hip ornament
1991.13.22,Gilded bronze cone-shaped hip ornament
1991.13.23,Gilded bronze cone-shaped hip ornament
1991.13.24,Gilded bronze cone-shaped hip ornament
1991.13.25,Bronze altarpiece with figures of the Queen Mother with six attendants
1991.13.26,Ivory armlet inlaid with brass
1991.13.28,Ivory side-blown trumpet (fragment)
1991.13.32,Bronze armlet
1991.13.33,Bronze armlet
1991.13.34,Bronze armlet
1991.13.35,Bronze armlet with inset coral
1991.13.36,Wooden painted altar-piece igbile mask with a canework base
1991.13.37,Wooden weaving sword
1991.13.38,Wooden lid covered with decorated bronze sheet
1991.13.39,Carved wooden staff with a string of shells attached
1991.13.40,Perforated agate bead
1991.13.41,Perforated agate bead
1991.13.42,Perforated agate bead
1991.13.43,Perforated agate bead
1991.13.44,Perforated agate bead
